Sample	percent	start	end
TCGA-3Z-A93Z-01	1.0	0.0	0.999999988671558
TCGA-6D-AA2E-01	0.0	0.0	0.0
TCGA-A3-3306-01	1.0	0.0	0.999999988671558
TCGA-A3-3307-01	0.8472729132239532	0.0	0.8472729018955112
TCGA-A3-3308-01	0.5839451484995615	0.0	0.5839451371711195
TCGA-A3-3311-01	1.0	0.0	0.999999988671558
TCGA-A3-3313-01	0.0	0.0	0.0
TCGA-A3-3316-01	0.9479293035436998	0.0	0.9479292922152578
TCGA-A3-3317-01	1.0	0.0	0.999999988671558
TCGA-A3-3319-01	1.0	0.0	0.999999988671558
TCGA-A3-3320-01	1.0	0.0	0.999999988671558
TCGA-A3-3322-01	1.0	0.0	0.999999988671558
TCGA-A3-3323-01	1.0	0.0	0.999999988671558
TCGA-A3-3324-01	1.0	0.0	0.999999988671558
TCGA-A3-3325-01	0.9819910171798995	0.0	0.9819910058514575
TCGA-A3-3326-01	0.6513011871119668	0.0	0.6513011757835249
TCGA-A3-3331-01	1.0	0.0	0.999999988671558
TCGA-A3-3335-01	0.9454332172938364	0.0	0.9454332059653944
TCGA-A3-3343-01	0.5789585269364068	0.0	0.5789585156079649
TCGA-A3-3346-01	1.0	0.0	0.999999988671558
TCGA-A3-3347-01	0.2212792049500035	0.0	0.2212791936215615
TCGA-A3-3349-01	0.6187360399609432	0.0	0.6187360286325012
TCGA-A3-3351-01	0.8964417273100823	0.0	0.8964417159816404
TCGA-A3-3352-01	0.8576142287587635	0.0	0.8576142174303215
TCGA-A3-3357-01	1.0	0.0	0.999999988671558
TCGA-A3-3358-01	0.9248012470167681	0.0	0.9248012356883261
TCGA-A3-3359-01	1.0	0.0	0.999999988671558
TCGA-A3-3362-01	0.6788878125358545	0.0	0.6788878012074125
TCGA-A3-3363-01	0.0	0.0	0.0
TCGA-A3-3365-01	1.0	0.0	0.999999988671558
TCGA-A3-3367-01	1.0	0.0	0.999999988671558
TCGA-A3-3370-01	1.0	0.0	0.999999988671558
TCGA-A3-3372-01	1.0	0.0	0.999999988671558
TCGA-A3-3373-01	1.0	0.0	0.999999988671558
TCGA-A3-3374-01	0.0	0.0	0.0
TCGA-A3-3376-01	0.7521778023438819	0.0	0.7521777910154398
TCGA-A3-3378-01	0.9992295073469024	0.0	0.9992294960184605
TCGA-A3-3380-01	1.0	0.0	0.999999988671558
TCGA-A3-3382-01	1.0	0.0	0.999999988671558
TCGA-A3-3383-01	0.9181165599708687	0.0	0.9181165486424268
TCGA-A3-3385-01	0.0	0.0	0.0
TCGA-A3-3387-01	0.9033173892309474	0.0	0.9033173779025054
TCGA-A3-A6NI-01	0.0	0.0	0.0
TCGA-A3-A6NJ-01	0.9026423500300068	0.0	0.9026423387015647
TCGA-A3-A6NL-01	1.0	0.0	0.999999988671558
TCGA-A3-A6NN-01	1.0	0.0	0.999999988671558
TCGA-A3-A8CQ-01	1.0	0.0	0.999999988671558
TCGA-A3-A8OU-01	0.7399604401743166	0.0	0.7399604288458747
TCGA-A3-A8OV-01	1.0	0.0	0.999999988671558
TCGA-A3-A8OW-01	1.0	0.0	0.999999988671558
TCGA-A3-A8OX-01	0.0	0.0	0.0
TCGA-AK-3426-01	0.7623301934517255	0.0	0.7623301821232835
TCGA-AK-3427-01	0.0	0.0	0.0
TCGA-AK-3428-01	0.7120667460020116	0.0	0.7120667346735696
TCGA-AK-3429-01	1.0	0.0	0.999999988671558
TCGA-AK-3430-01	0.9403525583337728	0.0	0.9403525470053309
TCGA-AK-3431-01	0.9992295073469024	0.0	0.9992294960184605
TCGA-AK-3433-01	1.0	0.0	0.999999988671558
TCGA-AK-3434-01	0.919070901908924	0.0	0.9190708905804821
TCGA-AK-3436-01	0.9225002818516366	0.0	0.9225002705231946
TCGA-AK-3440-01	0.0	0.0	0.0
TCGA-AK-3443-01	0.0	0.0	0.0
TCGA-AK-3444-01	0.47760231078465865	0.0	0.4776022994562167
TCGA-AK-3445-01	1.0	0.0	0.999999988671558
TCGA-AK-3447-01	0.0	0.0	0.0
TCGA-AK-3450-01	0.9595780005825538	0.0	0.9595779892541119
TCGA-AK-3451-01	0.9300857839472171	0.0	0.9300857726187751
TCGA-AK-3453-01	0.0	0.0	0.0
TCGA-AK-3454-01	1.0	0.0	0.999999988671558
TCGA-AK-3455-01	0.8943591405210757	0.0	0.8943591291926337
TCGA-AK-3456-01	0.0	0.0	0.0
TCGA-AK-3458-01	0.9909737919666665	0.0	0.9909737806382245
TCGA-AK-3460-01	1.0	0.0	0.999999988671558
TCGA-AK-3461-01	1.0	0.0	0.999999988671558
TCGA-AK-3465-01	0.0	0.0	0.0
TCGA-AS-3777-01	0.0	0.0	0.0
TCGA-AS-3778-01	0.9652141610237431	0.0	0.9652141496953012
TCGA-B0-4688-01	0.0	0.0	0.0
TCGA-B0-4690-01	1.0	0.0	0.999999988671558
TCGA-B0-4691-01	0.6512749730972159	0.0	0.651274961768774
TCGA-B0-4693-01	0.9057740071889386	0.0	0.9057739958604967
TCGA-B0-4694-01	1.0	0.0	0.999999988671558
TCGA-B0-4696-01	0.0	0.0	0.0
TCGA-B0-4697-01	0.0	0.0	0.0
TCGA-B0-4698-01	0.0	0.0	0.0
TCGA-B0-4699-01	0.0	0.0	0.0
TCGA-B0-4700-01	0.0	0.0	0.0
TCGA-B0-4701-01	0.6488371716813601	0.0	0.6488371603529182
TCGA-B0-4703-01	1.0	0.0	0.999999988671558
TCGA-B0-4706-01	0.9863161596871682	0.0	0.9863161483587263
